quiet_threshold,single_threshold,expression_filter,endpoint,method,auroc,auprc,n,positives,prevalence,auprc_over_prevalence
0.1,0.1,detection_ge_0.25,all_PRN_covered,prn_counterdirection,0.6180842247057615,0.0029481313016037594,139851,251,0.0017947672880422735,1.6426259388868023
0.1,0.1,detection_ge_0.25,all_PRN_covered,prn_active_balance,0.6168838257286042,0.0029534970536257343,139851,251,0.0017947672880422735,1.6456156033729585
0.1,0.1,detection_ge_0.25,optimal_pair_matched_1_to_10,quietness,0.49257154648338913,0.09053653337070161,2761,251,0.09090909090909091,0.9959018670777177
0.1,0.1,detection_ge_0.25,optimal_pair_matched_1_to_10,prn_counterdirection,0.5114466437040682,0.10339817656104862,2761,251,0.09090909090909091,1.1373799421715347
0.1,0.1,detection_ge_0.25,optimal_pair_matched_1_to_10,prn_active_balance,0.5124426596403232,0.10296277706796875,2761,251,0.09090909090909091,1.132590547747656
0.1,0.1,mean_counts_ge_0.10,all_PRN_covered,quietness,0.32844867285903157,0.0006432866270083264,267204,251,0.0009393571952515681,0.6848157764268241
0.1,0.1,mean_counts_ge_0.10,all_PRN_covered,prn_counterdirection,0.6164404128437608,0.0014981960450622047,267204,251,0.0009393571952515681,1.5949162391426348
0.1,0.1,mean_counts_ge_0.10,all_PRN_covered,prn_active_balance,0.6145341056574368,0.0014925424431990568,267204,251,0.0009393571952515681,1.5888976533568158
0.1,0.1,mean_counts_ge_0.10,optimal_pair_matched_1_to_10,quietness,0.4936350216663228,0.09095169341283216,2761,251,0.09090909090909091,1.0004686275411536
0.1,0.1,mean_counts_ge_0.10,optimal_pair_matched_1_to_10,prn_counterdirection,0.515698163521214,0.10680800773049837,2761,251,0.09090909090909091,1.174888085035482
0.1,0.1,mean_counts_ge_0.10,optimal_pair_matched_1_to_10,prn_active_balance,0.5168441770765544,0.1058385327238257,2761,251,0.09090909090909091,1.1642238599620827
